Comisi�n id,Tipo de viaje,Tipo de pasaje,Pais de origen,Estado de origen,Ciudad de origen,Pais de destino,Estado o equivalente de destino,Ciudad de destino,Institucion que cubre hospedaje,Aerolinea de vuelo de ida,Numero de vuelo de ida,Aerolineas de vuelo de regreso,Numero de vuelo de regreso,Fecha de inicio de la comision,Fecha de termino de la comision,Gasto por concepto de pasajes en MN,Observaciones
,1,2,M̩xico,Distrito Federal,Ciudad de M̩xico,M̩xico,Baja California,Tijuana,IFAI,Aerom̩xico,AM 170,Aerom̩xico,AM 177,31/01/13,02/02/13,6444,No aplica
,1,2,M̩xico,Distrito Federal,Ciudad de M̩xico,M̩xico,Durango,Durango,No disponible,Aerom̩xico,AM 2428,Aerom̩xico,AM 2601,28/02/13,28/02/13,8031,No aplica
,1,1,M̩xico,Distrito Federal,Ciudad de M̩xico,M̩xico,Puebla,Puebla,No aplica,No aplica,No aplica,No aplica,No aplica,21/02/13,21/02/13,750.02,No aplica
,1,2,M̩xico,Distrito Federal,Ciudad de M̩xico,M̩xico,Baja California,Tijuana,IFAI,Aerom̩xico,AM 170,Aerom̩xico,AM 177,31/01/13,02/02/13,6444,No aplica
,1,2,M̩xico,Distrito Federal,Ciudad de M̩xico,M̩xico,Michoac��n,Morelia,IFAI,Aeromar,1635,Aeromar,1750,07/02/13,08/02/13,7782,No aplica
,1,1,M̩xico,Distrito Federal,Ciudad de M̩xico,M̩xico,Hidalgo,Pachuca,No aplica,No aplica,No aplica,No aplica,No aplica,28/01/13,28/01/13,84,No aplica
,1,2,M̩xico,Distrito Federal,Ciudad de M̩xico,M̩xico,Jalisco,Guadalajara,No aplica,Aerom̩xico,AM 126,Aerom̩xico,AM 285,14/02/13,15/02/13,300,No aplica
,1,1,M̩xico,Distrito Federal,Ciudad de M̩xico,M̩xico,Hidalgo,Pachuca,No aplica,No aplica,No aplica,No aplica,No aplica,26/02/13,26/02/13,295,No aplica
,1,2,M̩xico,Distrito Federal,Ciudad de M̩xico,M̩xico,Coahuila,Torre�_n,No aplica,No disponible,No disponible,No disponible,No disponible,07/02/13,07/02/13,6996,No aplica
,1,2,M̩xico,Distrito Federal,Ciudad de M̩xico,M̩xico,Coahuila,Saltillo,IFAI,Aerom̩xico,AM 248,Aerom̩xico,AM 269,28/01/13,29/01/13,5651,No aplica
,1,2,M̩xico,Distrito Federal,Ciudad de M̩xico,M̩xico,Quintana Roo,Canc̼n y Playa del Carmen,IFAI,Interjet,2314,Interjet,2307,29/01/13,30/01/13,3505,No aplica
,2,4,M̩xico,Distrito Federal,Ciudad de M̩xico,Uruguay,Maldonado,Punta del Este,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Viaje cancelado
,1,1,M̩xico,Distrito Federal,Ciudad de M̩xico,M̩xico,Hidalgo,Pachuca,No aplica,No aplica,No aplica,No aplica,No aplica,28/01/13,28/01/13,329,No aplica
,2,2,M̩xico,Distrito Federal,Ciudad de M̩xico,Chile,Santiago de Chile,Santiago de Chile,IFAI,Aerom̩xico,AM010,Aerom̩xico,AM8001,21/04/13,26/04/13,26120,No aplica
,2,2,M̩xico,Distrito Federal,Ciudad de M̩xico,Colombia,Bogot��,Cundinamarca,IFAI,Avianca,AV 23,Avianca,AV 72,03/03/13,16/03/13,11594,No aplica
,1,1,M̩xico,Distrito Federal,Ciudad de M̩xico,M̩xico,Puebla,Puebla,No aplica,No aplica,No aplica,No aplica,No aplica,11/02/13,11/02/13,260,No aplica
,1,1,M̩xico,Distrito Federal,Ciudad de M̩xico,M̩xico,Puebla,Puebla,No aplica,No aplica,No aplica,No aplica,No aplica,29/04/13,29/04/13,No disponible,No aplica
