id,comisión id,Tipo de viaje,Tipo de pasaje,Pais de origen,Estado de origen,Ciudad de origen,Pais de destino,Estado o equivalente de destino,Ciudad de destino,Institucion que cubre hospedaje,Aerolinea de vuelo de ida,Numero de vuelo de ida,Aerolineas de vuelo de regreso,Numero de vuelo de regreso,Fecha de inicio de la comision,Fecha de termino de la comision,Gasto por concepto de pasajes en MN,Observaciones
1,2013.N.0006,1,2,México,Distrito Federal,Ciudad de México,México,Baja California,Tijuana,IFAI,AeroMéxico,AM 170,AeroMéxico,AM 177,31/01/13,2/2/2013,6444,No aplica
2,2013.N.0013,1,2,México,Distrito Federal,Ciudad de México,México,Durango,Durango,No disponible,AeroMéxico,AM 2428,AeroMéxico,AM 2601,28/02/13,28/02/13,8031,No aplica
3,2013.N.0011,1,1,México,Distrito Federal,Ciudad de México,México,Puebla,Puebla,No aplica,No aplica,No aplica,No aplica,No aplica,21/02/13,21/02/13,750.02,No aplica
4,2013.N.0007,1,2,México,Distrito Federal,Ciudad de México,México,Baja California,Tijuana,IFAI,AeroMéxico,AM 170,AeroMéxico,AM 177,31/01/13,2/2/2013,6444,No aplica
5,2013.N.0009,1,2,México,Distrito Federal,Ciudad de México,México,Michoacán,Morelia,IFAI,Aeromar,1635,Aeromar,1750,7/2/2013,8/2/2013,7782,No aplica
6,2013.N.0001,1,1,México,Distrito Federal,Ciudad de México,México,Hidalgo,Pachuca,No aplica,No aplica,No aplica,No aplica,No aplica,28/01/13,28/01/13,84,No aplica
7,2013.N.0010,1,2,México,Distrito Federal,Ciudad de México,México,Jalisco,Guadalajara,No aplica,AeroMéxico,AM 126,AeroMéxico,AM 285,14/02/13,15/02/13,300,No aplica
8,2013.N.0012,1,1,México,Distrito Federal,Ciudad de México,México,Hidalgo,Pachuca,No aplica,No aplica,No aplica,No aplica,No aplica,26/02/13,26/02/13,295,No aplica
9,2013.N.0008,1,2,México,Distrito Federal,Ciudad de México,México,Coahuila,Torreóón,No aplica,No disponible,No disponible,No disponible,No disponible,7/2/2013,7/2/2013,6996,No aplica
10,2013.N.0003,1,2,México,Distrito Federal,Ciudad de México,México,Coahuila,Saltillo,IFAI,AeroMéxico,AM 248,AeroMéxico,AM 269,28/01/13,29/01/13,5651,No aplica
11,2013.N.0004,1,2,México,Distrito Federal,Ciudad de México,México,Quintana Roo,Cancǧn y Playa del Carmen,IFAI,Interjet,2314,Interjet,2307,29/01/13,30/01/13,3505,No aplica
